,hidden_nodes,eta,lr,label,n_step,gamma,avg_reward,avg_eval_reward
189,64,0.005,0.0001,bootstrap,3,0.99,-251.5489673550966,-85.25
14,128,0.01,0.0001,bootstrap,3,0.99,-272.06862091938706,-85.6375
177,64,0.01,0.001,none,7,0.99,-156.67021985343104,-88.11875
42,32,0.01,0.001,baseline,3,0.99,-153.23184543637575,-88.26875000000001
157,16,0.01,0.001,none,3,0.99,-196.62091938707528,-101.28125
77,16,0.005,0.01,both,5,1.0,-124.782145236509,-110.05
151,32,0.1,0.01,both,3,0.99,-104.87208527648235,-113.7125
132,64,0.005,0.001,both,7,0.99,-149.40906062624916,-115.88125
120,32,0.005,0.01,bootstrap,10,0.99,-92.53031312458361,-122.89375000000001
1,128,0.01,0.001,none,5,1.0,-140.8587608261159,-123.1875
